address,blockchain,name,category,comment
0x26C5A34Bc8398fbD395b518ffAb27724D7CC9617,binance_smart_chain,@algodtrading?,individual,wallet receiving FTX funds 3 days after bankruptcy
0x7abe0ce388281d2acf297cb089caef3819b13448,ethereum,FTX.US,cex,
0x72A53cDBBcc1b9efa39c834A540550e23463AAcB,ethereum,crypto.com Cold Wallet 1,cex,
0x7758e507850da48cd47df1fb5f875c23e3340c50,ethereum,crypto.com Cold Wallet 2,cex,
0xcffad3200574698b78f32232aa9d63eabd290703,ethereum,crypto.com Cold Wallet 3,cex,
0x6262998Ced04146fA42253a5C0AF90CA02dfd2A3,ethereum,crypto.com Cold Wallet 4,cex,
0x2874cC00ac20e56d987e3b3E348Bdc6ad4eF127b,ethereum,crypto.com to FTX / Alameda,cex,
bc1qpy4jwethqenp4r7hqls660wy8287vw0my32lmy,bitcoin,crypto.com Cold Wallet 1,cex,
3LhhDLBVWBZChNQv8Dn4nDKFnCyojG1FqN,bitcoin,crypto.com Cold Wallet 1,cex,
3QsGsAXQ4rqRNvh5pEW55hf3F9PEyb7rVq,bitcoin,crypto.com Cold Wallet 1,cex,
bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,bitcoin,crypto.com Cold Wallet 1,cex,
bc1q4c8n5t00jmj8temxdgcc3t32nkg2wjwz24lywv,bitcoin,crypto.com Cold Wallet 1,cex,
14m3sd9HCCFJW4LymahJCKMabAxTK4DAqW,bitcoin,crypto.com Cold Wallet 1,cex,
0x55FE002aefF02F77364de339a1292923A15844B8,ethereum,Circle USDC,stablecoin,
0xc4F9eE31626c8deE0Ec02744732051E8B416e63e,ethereum,gate.io hacker,hackers,
0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,ethereum,FTX hacker,hackers,
0xd8019a114e86ad41d71a3eeb6620b19dd166a969,ethereum,FTX hacker,hackers,
0x97f991971a37D4Ca58064e6a98FC563F03A71E5c,ethereum,FTX hacker,hackers,
0xf977814e90da44bfa03b6295a0616a897441acec,polygon,Binance Hot Wallet,cex,
